CustomerID,TenureMonths,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,SupportTickets,TechSupportCalls,SeniorCitizen,Dependents,PaperlessBilling,Churn
CUST10050,55,67.14,3675.29,Month-to-month,No,Bank transfer,3,2,No,No,No,1
CUST10051,15,119.04,1708.65,Two year,DSL,Credit card,2,1,No,No,Yes,1
CUST10052,27,95.52,2559.13,Month-to-month,Fiber optic,Bank transfer,2,0,No,No,Yes,1
CUST10053,34,49.95,1686.42,One year,Fiber optic,Bank transfer,1,5,No,Yes,Yes,1
CUST10054,36,114.54,,Two year,Fiber optic,Credit card,1,2,Yes,No,Yes,1
CUST10055,4,61.54,220.22,Two year,Fiber optic,Electronic check,0,3,No,Yes,Yes,1
CUST10056,40,114.6,4371.44,Month-to-month,Fiber optic,Credit card,1,1,No,No,Yes,1
CUST10057,12,56.39,816.19,Month-to-month,DSL,Bank transfer,0,2,No,No,Yes,1
CUST10058,54,86.98,4741.85,Month-to-month,DSL,Mailed check,2,0,No,No,No,1
CUST10059,50,66.68,3320.9,Month-to-month,DSL,Mailed check,3,1,Yes,Yes,Yes,1
CUST10060,67,53.86,3564.9,One year,Fiber optic,Bank transfer,1,2,No,Yes,Yes,1
CUST10061,54,118.09,6282.17,Two year,Fiber optic,Credit card,4,1,No,Yes,Yes,1
CUST10062,27,44.7,1400.7,Two year,DSL,Bank transfer,1,3,No,Yes,No,1
CUST10063,70,33.91,2378.88,Month-to-month,No,Electronic check,2,2,No,No,Yes,0
CUST10064,30,60.9,1653.22,One year,Fiber optic,Mailed check,1,2,No,Yes,No,1
CUST10065,24,100.35,2441.17,Two year,Fiber optic,Bank transfer,0,1,No,No,Yes,1
CUST10066,66,109.78,7366.1,Two year,Fiber optic,Mailed check,3,2,No,No,No,1
CUST10067,27,129.87,3522.13,Month-to-month,DSL,Credit card,1,1,No,No,Yes,1
CUST10068,6,56.12,246.56,Month-to-month,Fiber optic,Bank transfer,2,4,No,No,Yes,1
CUST10069,34,67.83,2207.11,Two year,Fiber optic,Electronic check,2,1,Yes,Yes,No,0
CUST10070,58,39.37,2191.73,Month-to-month,DSL,Bank transfer,1,0,No,No,No,0
CUST10071,14,85.36,1347.21,Month-to-month,No,Electronic check,4,2,No,Yes,No,1
CUST10072,34,129.75,4404.33,Two year,No,Mailed check,1,0,No,Yes,Yes,1
CUST10073,10,98.59,818.03,Two year,Fiber optic,Mailed check,2,1,Yes,No,Yes,1
CUST10074,50,87.5,4413.41,Two year,No,Credit card,2,1,No,No,Yes,1
CUST10075,35,66.2,2331.1,One year,No,Credit card,5,0,No,No,Yes,1
CUST10076,24,121.11,2861.75,Month-to-month,DSL,Mailed check,3,2,No,No,Yes,1
CUST10077,17,77.18,1210.02,Month-to-month,Fiber optic,Bank transfer,1,2,No,Yes,Yes,1
CUST10078,41,39.11,1497.12,Month-to-month,Fiber optic,Bank transfer,0,3,No,No,Yes,1
CUST10079,49,63.36,3213.3,One year,DSL,Bank transfer,1,3,Yes,No,Yes,1
CUST10080,68,32.05,2204.15,Month-to-month,DSL,Bank transfer,2,2,No,No,No,0
CUST10081,32,46.21,1526.58,One year,DSL,Credit card,3,2,No,No,Yes,1
CUST10082,12,26.86,346.8,Month-to-month,Fiber optic,Credit card,1,1,No,No,Yes,1
CUST10083,60,72.59,4388.17,One year,Fiber optic,Credit card,1,1,No,No,Yes,1
CUST10084,46,91.63,4168.14,Month-to-month,Fiber optic,Electronic check,2,4,No,No,Yes,1
CUST10085,51,61.05,3092.97,Month-to-month,DSL,Mailed check,1,4,No,Yes,No,1
CUST10086,8,69.14,669.61,Month-to-month,DSL,Mailed check,2,0,No,No,Yes,1
CUST10087,23,125.72,3033.02,Month-to-month,Fiber optic,Bank transfer,1,1,No,No,No,1
CUST10088,56,103.96,5699.55,Two year,Fiber optic,Bank transfer,2,0,No,No,Yes,1
CUST10089,60,81.79,4886.57,Month-to-month,No,Bank transfer,2,1,No,No,No,0
CUST10090,32,54.88,1840.09,Month-to-month,No,Mailed check,1,1,No,No,Yes,1
CUST10091,58,119.18,7100.65,One year,No,Mailed check,1,2,Yes,Yes,Yes,1
CUST10092,61,49.69,3209.29,One year,No,Mailed check,3,1,No,No,No,0
CUST10093,28,59.16,1576.9,Month-to-month,No,Credit card,2,2,No,No,Yes,1
CUST10094,65,120.45,7956.75,Month-to-month,Fiber optic,Mailed check,2,2,No,No,No,1
CUST10095,21,80.6,1698.46,Month-to-month,DSL,Electronic check,2,3,No,No,Yes,1
CUST10096,18,102.94,1957.36,One year,DSL,Credit card,1,1,No,No,Yes,1
CUST10097,50,87.03,4430.33,Month-to-month,Fiber optic,Electronic check,1,0,No,Yes,No,1
CUST10098,46,93.61,4179.66,Month-to-month,DSL,Bank transfer,2,2,Yes,Yes,Yes,1
CUST10099,11,56.44,675.84,Month-to-month,DSL,Credit card,3,1,No,No,Yes,1
CUST10100,60,50.34,3120.97,One year,No,Mailed check,2,1,No,Yes,Yes,0
CUST10101,15,58.86,880.88,Month-to-month,DSL,Mailed check,2,0,No,No,Yes,1
CUST10102,58,41.32,2371.93,Two year,No,Mailed check,6,0,No,No,Yes,1
CUST10103,1,116.8,116.8,Month-to-month,Fiber optic,Electronic check,1,2,No,Yes,Yes,1
CUST10104,58,54.74,3243.28,One year,Fiber optic,Electronic check,3,0,Yes,No,No,1
CUST10105,57,83.96,4806.59,Month-to-month,Fiber optic,Electronic check,2,3,No,No,No,0
CUST10106,57,108.16,6072.9,Month-to-month,DSL,Mailed check,1,3,No,No,Yes,1
CUST10107,48,107.3,5117.82,Month-to-month,Fiber optic,Bank transfer,2,2,No,No,Yes,1
CUST10108,34,71.03,2430.47,Two year,DSL,Electronic check,3,2,No,No,No,1
CUST10109,51,75.01,3769.65,Two year,No,Credit card,2,3,No,Yes,Yes,1
CUST10110,20,129.44,2589.07,Month-to-month,DSL,Bank transfer,2,1,No,No,Yes,1
CUST10111,57,95.83,5287.32,Month-to-month,DSL,Electronic check,0,1,No,Yes,Yes,1
CUST10112,41,110.54,4667.08,Two year,Fiber optic,Credit card,1,1,No,No,Yes,1
CUST10113,34,119.77,4073.77,Month-to-month,Fiber optic,Electronic check,3,0,No,No,Yes,1
CUST10114,37,107.7,3874.96,Month-to-month,Fiber optic,Bank transfer,1,2,No,No,Yes,1
CUST10115,41,44.44,1576.07,Month-to-month,Fiber optic,Mailed check,2,1,No,No,No,1
CUST10116,3,84.03,355.0,One year,DSL,Bank transfer,0,2,No,No,No,1
CUST10117,11,35.7,448.51,One year,Fiber optic,Credit card,2,2,Yes,No,No,1
CUST10118,18,93.56,1705.15,One year,DSL,Credit card,3,2,No,No,Yes,1
CUST10119,9,125.31,1214.15,Two year,DSL,Mailed check,4,1,Yes,No,No,1
CUST10120,32,78.84,2608.97,Month-to-month,DSL,Bank transfer,1,0,No,Yes,Yes,1
CUST10121,49,70.46,3471.98,Month-to-month,DSL,Credit card,1,2,No,No,No,0
CUST10122,48,28.76,1355.06,Month-to-month,DSL,Bank transfer,0,1,No,No,Yes,1
CUST10123,34,125.78,4234.81,Month-to-month,Fiber optic,Credit card,0,2,No,No,Yes,1
CUST10124,62,35.82,2262.93,Month-to-month,DSL,Mailed check,2,2,No,No,Yes,1
CUST10125,41,29.31,1341.41,Month-to-month,DSL,Mailed check,3,2,No,No,Yes,1
CUST10126,6,50.84,294.75,Month-to-month,Fiber optic,Bank transfer,3,2,Yes,Yes,Yes,1
CUST10127,56,31.88,1932.93,One year,DSL,Credit card,1,0,Yes,No,Yes,0
CUST10128,42,72.79,3094.5,Month-to-month,Fiber optic,Credit card,3,4,No,No,Yes,1
CUST10129,46,79.19,3680.81,Month-to-month,No,Bank transfer,0,0,No,No,No,1
CUST10130,41,57.82,2611.13,One year,Fiber optic,Bank transfer,1,3,No,No,Yes,1
CUST10131,40,30.35,1379.27,One year,No,Bank transfer,1,0,No,No,Yes,1
CUST10132,7,36.72,424.9,One year,DSL,Mailed check,3,1,No,Yes,Yes,1
CUST10133,41,65.37,2600.41,Two year,DSL,Mailed check,0,0,No,No,Yes,1
CUST10134,58,31.36,2038.1,One year,Fiber optic,Mailed check,1,2,No,No,No,1
CUST10135,22,98.31,2154.6,Month-to-month,Fiber optic,Credit card,1,0,No,Yes,Yes,1
CUST10136,44,46.74,2033.81,Month-to-month,No,Bank transfer,4,0,No,No,Yes,1
CUST10137,3,56.72,56.72,One year,DSL,Credit card,0,2,Yes,Yes,No,1
CUST10138,26,66.38,1758.51,Month-to-month,Fiber optic,Electronic check,4,1,No,Yes,Yes,1
CUST10139,32,68.74,2091.34,Month-to-month,Fiber optic,Credit card,2,0,No,No,Yes,1
CUST10140,71,25.17,,Month-to-month,DSL,Bank transfer,1,1,No,No,No,0
CUST10141,16,36.77,472.16,Month-to-month,DSL,Credit card,1,0,No,Yes,Yes,1
CUST10142,20,115.59,2491.57,Month-to-month,No,Mailed check,0,1,No,No,Yes,1
CUST10143,30,25.13,809.06,Month-to-month,DSL,Mailed check,0,1,No,No,Yes,1
CUST10144,72,78.36,5869.91,Two year,No,Electronic check,1,0,Yes,No,No,0
CUST10145,62,76.4,4634.5,Two year,Fiber optic,Credit card,0,0,No,Yes,Yes,0
CUST10146,3,59.97,334.83,Month-to-month,Fiber optic,Bank transfer,1,2,No,No,Yes,1
CUST10147,17,70.29,1014.66,Two year,Fiber optic,Credit card,4,2,No,No,Yes,1
CUST10148,60,106.96,6438.41,Month-to-month,No,Electronic check,0,0,Yes,No,Yes,1
CUST10149,5,113.33,503.49,Two year,DSL,Electronic check,1,0,No,No,Yes,1
CUST10150,62,52.34,3200.28,Two year,DSL,Credit card,0,0,No,No,Yes,0
CUST10151,21,58.86,1184.41,Month-to-month,Fiber optic,Electronic check,1,1,Yes,No,No,1
CUST10152,67,50.46,3289.35,One year,Fiber optic,Bank transfer,0,3,No,No,Yes,1
CUST10153,22,75.39,1532.61,Two year,DSL,Mailed check,2,3,No,No,No,1
CUST10154,32,96.74,3051.44,Two year,DSL,Credit card,0,0,No,No,Yes,1
CUST10155,48,48.97,2362.16,Two year,DSL,Credit card,1,1,No,No,Yes,0
CUST10156,10,59.73,713.67,One year,DSL,Credit card,3,1,Yes,No,No,1
CUST10157,41,122.69,5059.83,Month-to-month,DSL,Mailed check,2,2,No,Yes,Yes,1
CUST10158,37,30.1,1230.35,Two year,No,Bank transfer,0,1,No,No,No,0
CUST10159,57,73.38,4034.84,One year,DSL,Bank transfer,2,2,No,No,Yes,0
CUST10160,72,99.71,7135.82,One year,No,Credit card,1,1,No,No,Yes,0
CUST10161,48,40.8,2029.5,Month-to-month,No,Electronic check,1,2,No,No,Yes,1
CUST10162,30,29.97,933.42,One year,DSL,Credit card,2,4,Yes,No,Yes,1
CUST10163,30,39.51,1099.18,Month-to-month,Fiber optic,Mailed check,0,3,No,Yes,Yes,1
CUST10164,31,121.48,3859.29,One year,Fiber optic,Electronic check,2,1,Yes,No,Yes,0
CUST10165,59,25.97,1479.1,Month-to-month,Fiber optic,Bank transfer,4,0,No,No,Yes,1
CUST10166,24,44.77,996.74,One year,DSL,Credit card,2,1,No,Yes,Yes,1
CUST10167,13,28.28,416.33,Two year,DSL,Electronic check,2,1,No,No,No,1
CUST10168,25,36.62,916.12,Month-to-month,DSL,Electronic check,2,1,No,No,Yes,1
CUST10169,2,90.12,127.95,Month-to-month,Fiber optic,Credit card,3,1,No,No,Yes,1
CUST10170,8,50.37,347.27,Month-to-month,No,,6,3,No,Yes,Yes,1
CUST10171,7,84.77,486.41,Two year,Fiber optic,Electronic check,1,0,No,No,Yes,1
CUST10172,56,86.97,4830.75,One year,Fiber optic,Credit card,4,4,No,No,Yes,1
CUST10173,53,114.19,6162.07,Month-to-month,No,Credit card,1,3,No,Yes,Yes,1
CUST10174,51,25.5,1324.96,Month-to-month,Fiber optic,Credit card,2,1,No,Yes,Yes,1
CUST10175,34,114.6,3992.26,Month-to-month,DSL,Electronic check,2,2,No,Yes,Yes,1
CUST10176,52,90.01,4732.13,Month-to-month,No,Bank transfer,5,1,No,No,Yes,0
CUST10177,12,42.09,443.86,Two year,Fiber optic,Credit card,1,1,No,Yes,No,1
CUST10178,65,106.16,6735.49,One year,DSL,Credit card,3,3,No,No,Yes,1
CUST10179,37,114.83,4156.02,Month-to-month,Fiber optic,Bank transfer,0,3,No,Yes,Yes,1
CUST10180,68,51.7,3448.48,Two year,No,Electronic check,3,1,Yes,Yes,Yes,1
CUST10181,11,121.47,1261.31,Month-to-month,DSL,Electronic check,1,1,No,No,No,1
CUST10182,36,72.72,2716.02,Two year,Fiber optic,Mailed check,1,1,No,No,Yes,1
CUST10183,51,88.36,4603.42,Month-to-month,DSL,Electronic check,2,0,Yes,No,No,1
CUST10184,36,128.39,4843.23,One year,DSL,Electronic check,0,2,No,Yes,No,1
CUST10185,33,62.96,2001.31,Two year,DSL,Electronic check,2,8,No,No,Yes,0
CUST10186,12,110.38,1484.3,Month-to-month,Fiber optic,Credit card,0,4,No,Yes,Yes,1
CUST10187,28,58.43,1795.17,One year,No,Bank transfer,2,2,No,No,No,1
CUST10188,18,108.92,1937.33,Two year,DSL,Bank transfer,1,4,No,No,Yes,1
CUST10189,22,88.08,1985.12,Month-to-month,DSL,Credit card,3,1,No,No,Yes,1
CUST10190,50,47.72,2510.07,Month-to-month,DSL,Mailed check,3,1,No,Yes,Yes,1
CUST10191,46,68.47,3143.73,One year,DSL,Mailed check,3,1,Yes,No,Yes,1
CUST10192,44,58.35,2553.76,Month-to-month,Fiber optic,Electronic check,2,0,No,No,Yes,1
CUST10193,27,33.2,833.67,Month-to-month,Fiber optic,Mailed check,0,2,No,No,Yes,1
CUST10194,70,28.13,1733.1,Month-to-month,Fiber optic,Electronic check,3,1,No,Yes,Yes,1
CUST10195,7,61.38,436.71,One year,Fiber optic,Bank transfer,3,0,No,Yes,Yes,1
CUST10196,25,27.0,604.01,Month-to-month,Fiber optic,Credit card,7,0,No,No,No,1
CUST10197,9,42.38,273.89,Month-to-month,DSL,Bank transfer,3,4,Yes,No,Yes,1
CUST10198,25,101.14,2570.72,Two year,DSL,Mailed check,1,3,No,No,Yes,1
CUST10199,70,99.35,6809.37,Month-to-month,No,Bank transfer,5,0,No,No,No,1
CUST10200,27,102.55,2849.46,Two year,Fiber optic,Credit card,2,2,Yes,Yes,Yes,1
CUST10201,66,58.3,3896.16,Month-to-month,No,Mailed check,3,2,No,No,No,0
CUST10202,36,118.45,4224.18,Two year,No,Mailed check,2,0,No,No,Yes,1
CUST10203,51,87.35,4448.52,One year,Fiber optic,Bank transfer,2,0,No,Yes,Yes,0
CUST10204,33,38.23,1142.57,Month-to-month,No,Electronic check,1,2,No,No,Yes,1
CUST10205,20,40.09,876.83,Two year,Fiber optic,Credit card,1,0,No,No,Yes,1
CUST10206,56,97.78,5494.42,Month-to-month,DSL,Mailed check,1,1,No,No,Yes,1
CUST10207,70,43.16,3047.38,Month-to-month,DSL,Mailed check,4,1,No,No,Yes,0
CUST10208,19,78.27,1537.32,Month-to-month,DSL,Bank transfer,2,3,No,No,No,1
CUST10209,57,129.14,7296.74,One year,DSL,Electronic check,2,1,No,No,Yes,1
CUST10210,19,25.42,331.07,Month-to-month,Fiber optic,Electronic check,2,2,No,No,Yes,1
CUST10211,52,26.74,1486.21,Month-to-month,Fiber optic,Electronic check,1,0,Yes,No,No,1
CUST10212,57,129.27,7437.26,Month-to-month,Fiber optic,Mailed check,2,3,No,No,No,1
CUST10213,33,86.39,2797.33,Month-to-month,Fiber optic,Bank transfer,2,0,Yes,No,Yes,0
CUST10214,54,38.33,2110.73,Month-to-month,DSL,Electronic check,2,1,No,No,No,1
CUST10215,20,119.22,2510.2,Month-to-month,Fiber optic,Mailed check,2,0,No,No,Yes,1
CUST10216,6,117.44,818.51,Month-to-month,Fiber optic,Credit card,2,2,No,No,No,1
CUST10217,7,81.3,512.64,Month-to-month,DSL,Credit card,3,3,No,No,Yes,1
CUST10218,33,90.29,,One year,DSL,Electronic check,6,1,No,No,Yes,1
CUST10219,65,53.68,3357.48,Month-to-month,DSL,Bank transfer,2,1,No,Yes,Yes,0
CUST10220,10,30.3,271.83,One year,DSL,Electronic check,1,1,No,No,Yes,0
CUST10221,33,87.43,3031.42,Month-to-month,No,Bank transfer,3,0,No,Yes,No,1
CUST10222,51,55.95,2780.61,Month-to-month,Fiber optic,Credit card,0,4,No,No,Yes,0
CUST10223,15,94.68,1360.57,Month-to-month,Fiber optic,,4,2,No,No,Yes,1
CUST10224,52,112.81,5804.43,Month-to-month,DSL,Electronic check,3,1,Yes,No,Yes,1
CUST10225,23,26.91,565.76,Month-to-month,No,Mailed check,0,2,Yes,No,Yes,1
CUST10226,59,87.55,5164.33,Two year,Fiber optic,,2,1,No,Yes,No,1
CUST10227,42,49.28,1941.75,Month-to-month,DSL,Credit card,2,1,No,Yes,Yes,1
CUST10228,40,116.76,4778.84,Month-to-month,Fiber optic,Mailed check,1,3,No,Yes,Yes,1
CUST10229,13,51.63,656.71,One year,Fiber optic,Electronic check,0,0,No,No,No,1
CUST10230,34,89.13,3278.33,Month-to-month,Fiber optic,Mailed check,1,1,No,No,Yes,1
CUST10231,62,83.12,5036.08,Month-to-month,DSL,Bank transfer,0,3,No,No,No,1
CUST10232,2,66.6,292.19,Month-to-month,Fiber optic,Mailed check,1,1,Yes,No,Yes,1
CUST10233,55,96.15,5427.38,Month-to-month,DSL,Credit card,2,1,No,No,Yes,1
CUST10234,36,101.21,3602.39,Month-to-month,DSL,Credit card,1,3,No,No,Yes,1
CUST10235,52,84.53,4356.05,One year,DSL,Credit card,1,0,No,No,No,1
CUST10236,48,104.63,4930.11,Two year,No,Electronic check,2,2,No,Yes,No,1
CUST10237,32,128.26,4013.34,Month-to-month,DSL,Credit card,0,0,No,No,Yes,1
CUST10238,23,69.02,1587.4,One year,Fiber optic,Credit card,1,0,No,No,No,1
CUST10239,46,79.03,3637.45,One year,DSL,Mailed check,2,3,No,No,Yes,1
CUST10240,11,26.31,129.17,Month-to-month,No,Bank transfer,0,2,Yes,Yes,Yes,1
CUST10241,43,108.58,4898.29,One year,Fiber optic,Credit card,1,1,No,No,Yes,1
CUST10242,7,79.62,531.39,One year,No,Credit card,3,2,No,No,Yes,1
CUST10243,47,67.84,3195.04,Two year,DSL,Bank transfer,2,2,Yes,No,No,1
CUST10244,46,34.88,1541.86,Two year,DSL,Electronic check,2,0,No,No,No,0
CUST10245,7,118.41,802.17,Month-to-month,Fiber optic,Bank transfer,3,1,No,No,Yes,1
CUST10246,55,66.48,3620.61,Month-to-month,DSL,Bank transfer,0,2,No,Yes,Yes,1
CUST10247,30,96.67,2899.81,Month-to-month,No,Electronic check,1,1,No,Yes,Yes,1
CUST10248,57,40.68,2317.3,Month-to-month,No,Credit card,1,1,No,Yes,Yes,0
CUST10249,3,125.96,458.37,Month-to-month,Fiber optic,Electronic check,3,3,No,No,Yes,1
CUST10250,13,43.74,,Two year,No,Credit card,3,1,No,Yes,Yes,1
CUST10251,36,45.95,1724.63,Month-to-month,Fiber optic,Bank transfer,2,1,No,No,Yes,1
CUST10252,14,115.19,1611.68,Month-to-month,DSL,Mailed check,0,0,No,No,Yes,1
CUST10253,24,120.82,2922.81,Two year,Fiber optic,Electronic check,2,3,No,No,Yes,1
CUST10254,48,47.28,2245.31,Month-to-month,DSL,Electronic check,1,3,Yes,No,Yes,1
CUST10255,11,74.33,917.94,Month-to-month,No,Bank transfer,1,1,No,No,Yes,1
CUST10256,49,102.02,5031.24,Two year,DSL,Mailed check,2,1,No,Yes,Yes,1
CUST10257,8,117.23,922.03,Month-to-month,DSL,Credit card,2,2,No,Yes,No,1
CUST10258,13,64.8,823.61,Month-to-month,Fiber optic,Electronic check,4,0,No,No,Yes,1
CUST10259,43,79.29,3398.55,Month-to-month,DSL,Credit card,3,1,No,No,Yes,1
CUST10260,58,102.88,5970.08,Two year,DSL,Credit card,2,5,No,No,Yes,1
CUST10261,13,101.77,1317.37,Month-to-month,Fiber optic,Electronic check,4,1,No,No,No,1
CUST10262,22,107.21,2302.74,Month-to-month,DSL,Bank transfer,3,0,No,No,Yes,1
CUST10263,67,84.84,5760.77,Month-to-month,Fiber optic,Credit card,1,0,No,No,Yes,1
CUST10264,72,35.98,2673.37,Month-to-month,DSL,Mailed check,0,1,No,No,Yes,1
CUST10265,42,119.92,5215.03,Two year,DSL,Electronic check,1,2,No,Yes,Yes,1
CUST10266,33,115.89,,Month-to-month,DSL,Credit card,3,3,No,Yes,Yes,1
CUST10267,25,108.8,2786.64,Two year,Fiber optic,Mailed check,1,3,Yes,No,Yes,1
CUST10268,45,35.49,1406.14,Month-to-month,No,Electronic check,2,2,No,Yes,Yes,1
CUST10269,43,46.46,2080.68,Month-to-month,DSL,Credit card,2,4,No,No,Yes,1
CUST10270,22,103.08,2122.1,Two year,No,Bank transfer,1,2,No,No,Yes,1
CUST10271,2,27.43,27.43,Month-to-month,Fiber optic,Electronic check,2,0,No,No,Yes,1
CUST10272,11,127.82,,Month-to-month,Fiber optic,Mailed check,0,2,No,No,No,1
CUST10273,70,64.6,4459.85,Two year,Fiber optic,Electronic check,3,2,No,No,Yes,1
CUST10274,31,100.53,3040.59,Month-to-month,Fiber optic,Credit card,5,2,No,No,Yes,1
CUST10275,35,118.19,4088.17,Month-to-month,No,Electronic check,4,0,No,No,Yes,1
CUST10276,34,66.44,2331.92,Two year,Fiber optic,Credit card,2,0,No,Yes,Yes,0
CUST10277,57,58.51,3241.78,Month-to-month,Fiber optic,Bank transfer,3,0,No,No,No,1
CUST10278,5,88.92,439.18,Month-to-month,DSL,Bank transfer,4,1,Yes,No,Yes,1
CUST10279,6,86.0,478.13,Month-to-month,DSL,Credit card,2,1,Yes,Yes,No,1
CUST10280,20,67.96,1441.19,Month-to-month,Fiber optic,Credit card,4,1,No,No,Yes,1
CUST10281,36,88.19,3259.63,Month-to-month,DSL,Electronic check,3,2,No,No,Yes,1
CUST10282,49,123.22,5854.25,One year,DSL,Electronic check,2,5,No,Yes,Yes,1
CUST10283,36,74.1,2772.11,Month-to-month,DSL,Electronic check,2,1,No,No,Yes,1
CUST10284,32,45.66,1400.04,One year,DSL,Bank transfer,2,5,No,No,Yes,1
CUST10285,68,64.61,4417.11,Month-to-month,Fiber optic,Bank transfer,2,1,No,No,No,1
CUST10286,12,66.38,702.67,Month-to-month,Fiber optic,Electronic check,1,2,No,No,Yes,1
CUST10287,42,38.77,1665.45,Month-to-month,Fiber optic,Electronic check,3,0,No,Yes,Yes,1
CUST10288,40,42.1,1939.13,One year,DSL,Bank transfer,1,1,No,No,Yes,1
CUST10289,35,96.88,3403.52,Month-to-month,Fiber optic,Bank transfer,1,2,No,No,No,0
CUST10290,59,60.65,3532.37,Month-to-month,Fiber optic,Mailed check,0,2,No,Yes,No,1
